*START-ACTOR*,Robert De Niro
*START-SENTENCE*,Robert De Niro
Robert,O
Anthony,O
De,O
Niro,O
Jr.,O
(,O
",",O
Italian,O
:,O
[,O
de,O
ˈniːro,O
],O
;,O
born,O
August,O
17,O
",",O
1943,O
),O
is,O
an,O
Italian,O
-,O
American,O
 ,O
actor,O
",",O
producer,O
",",O
and,O
director,O
.,O
*END-SENTENCE*,Robert De Niro
*START-SENTENCE*,Robert De Niro
He,O
has,O
received,O
numerous,O
accolades,O
",",O
including,O
two,O
Academy,O
Awards,O
",",O
a,O
Golden,O
Globe,O
Award,O
",",O
the,O
Cecil,O
B.,O
DeMille,O
Award,O
",",O
the,O
Golden,O
Lion,O
",",O
the,O
AFI,O
Life,O
Achievement,O
Award,O
",",O
Presidential,O
Medal,O
of,O
Freedom,O
",",O
and,O
has,O
been,O
nominated,O
for,O
six,O
BAFTA,O
Awards,O
",",O
four,O
Primetime,O
Emmy,O
Awards,O
and,O
four,O
Screen,O
Actors,O
Guild,O
Awards,O
.,O
*END-SENTENCE*,Robert De Niro
*START-SENTENCE*,Robert De Niro
"
",O
De,O
Niro,O
was,O
cast,O
as,O
the,O
young,O
Vito,O
Corleone,O
in,O
the,O
1974,O
film,O
The,O
Godfather,O
Part,O
II,O
;,O
he,O
won,O
the,O
Academy,O
Award,O
for,O
Best,O
Supporting,O
Actor,O
.,O
*END-SENTENCE*,Robert De Niro
*START-SENTENCE*,Robert De Niro
His,O
longtime,O
collaboration,O
with,O
director,O
Martin,O
Scorsese,O
earned,O
him,O
the,O
Academy,O
Award,O
for,O
Best,O
Actor,O
for,O
his,O
portrayal,O
of,O
Jake,O
LaMotta,O
in,O
the,O
1980,O
film,O
Raging,O
Bull,O
.,O
*END-SENTENCE*,Robert De Niro
*START-SENTENCE*,Robert De Niro
"
",O
De,O
Niro,O
's,O
first,O
major,O
film,O
roles,O
were,O
in,O
the,O
sports,O
drama,O
Bang,O
the,O
Drum,O
Slowly,O
(,O
1973,O
),O
and,O
Scorsese,O
's,O
crime,O
film,O
Mean,O
Streets,O
(,O
1973,O
),O
.,O
*END-SENTENCE*,Robert De Niro
*START-SENTENCE*,Robert De Niro
He,O
earned,O
Academy,O
Award,O
nominations,O
for,O
the,O
psychological,O
thrillers,O
Taxi,O
Driver,O
(,O
1976,O
),O
and,O
Cape,O
Fear,O
(,O
1991,O
),O
",",O
both,O
directed,O
by,O
Scorsese,O
.,O
*END-SENTENCE*,Robert De Niro
*START-SENTENCE*,Robert De Niro
De,O
Niro,O
received,O
additional,O
nominations,O
for,O
Michael,O
Cimino,O
's,O
Vietnam,O
war,O
drama,O
The,O
Deer,O
Hunter,O
(,O
1978,O
),O
",",O
Penny,O
Marshall,O
's,O
drama,O
Awakenings,O
(,O
1990,O
),O
",",O
and,O
David,O
O.,O
Russell,O
's,O
romantic,O
comedy,O
-,O
drama,O
Silver,O
Linings,O
Playbook,O
(,O
2012,O
),O
.,O
*END-SENTENCE*,Robert De Niro
*START-SENTENCE*,Robert De Niro
His,O
role,O
as,O
Rupert,O
Pupkin,O
in,O
the,O
black,O
comedy,O
film,O
The,O
King,O
of,O
Comedy,O
(,O
1983,O
),O
and,O
his,O
portrayal,O
of,O
gangster,O
Jimmy,O
Conway,O
in,O
the,O
crime,O
film,O
Goodfellas,O
(,O
1990,O
),O
",",O
earned,O
him,O
BAFTA,O
Award,O
nominations,O
.,O
*END-SENTENCE*,Robert De Niro
*START-SENTENCE*,Robert De Niro
De,O
Niro,O
has,O
earned,O
four,O
nominations,O
for,O
the,O
Golden,O
Globe,O
Award,O
for,O
Best,O
Actor,O
–,O
Motion,O
Picture,O
Musical,O
or,O
Comedy,O
",",O
for,O
his,O
work,O
in,O
the,O
musical,O
drama,O
New,O
York,O
",",O
New,O
York,O
(,O
1977,O
),O
",",O
the,O
action,O
comedy,O
Midnight,O
Run,O
(,O
1988,O
),O
",",O
the,O
gangster,O
comedy,O
Analyze,O
This,O
(,O
1999,O
),O
",",O
and,O
the,O
comedy,O
Meet,O
the,O
Parents,O
(,O
2000,O
),O
.,O
*END-SENTENCE*,Robert De Niro
*START-SENTENCE*,Robert De Niro
Other,O
notable,O
performances,O
include,O
roles,O
in,O
1900,O
(,O
1976,O
),O
",",O
The,O
Last,O
Tycoon,O
(,O
1976,O
),O
",",O
Once,O
Upon,O
a,O
Time,O
in,O
America,O
(,O
1984,O
),O
",",O
Brazil,O
(,O
1985,O
),O
",",O
The,O
Mission,O
(,O
1986,O
),O
",",O
The,O
Untouchables,O
(,O
1987,O
),O
",",O
This,O
Boy,O
's,O
Life,O
(,O
1993,O
),O
",",O
Heat,O
(,O
1995,O
),O
",",O
Casino,O
(,O
1995,O
),O
",",O
Jackie,O
Brown,O
(,O
1997,O
),O
",",O
Ronin,O
(,O
1998,O
),O
",",O
Joker,O
(,O
2019,O
),O
",",O
and,O
The,O
Irishman,O
(,O
2019,O
),O
.,O
*END-SENTENCE*,Robert De Niro
*START-SENTENCE*,Robert De Niro
 ,O
He,O
has,O
directed,O
and,O
starred,O
in,O
films,O
such,O
as,O
the,O
crime,O
drama,O
A,O
Bronx,O
Tale,O
(,O
1993,O
),O
and,O
the,O
spy,O
film,O
The,O
Good,O
Shepherd,O
(,O
2006,O
),O
.,O
*END-SENTENCE*,Robert De Niro
*START-SENTENCE*,Robert De Niro
"

",O
*END-SENTENCE*,Robert De Niro
*END-ACTOR*,Robert De Niro
*START-ACTOR*,Jack Nicholson
*START-SENTENCE*,Jack Nicholson
John,O
Joseph,O
Nicholson,O
(,O
born,O
April,O
22,O
",",O
1937,O
),O
is,O
an,O
American,O
actor,O
and,O
filmmaker,O
whose,O
career,O
spans,O
more,O
than,O
